rect,N,M,S_est,abs_err,rel_err
wide,29100,2880,0.96340453608247422768,0.01888735018247422737,0.01999683061825612007
wide,29600,2910,0.95699675675675677233,0.01247957085675677202,0.01321264561731123020
wide,30100,2892,0.93527856478405324570,0.00923862111594675461,0.00978131605635483570
wide,30600,2979,0.94767247058823533834,0.00315528468823533803,0.00334063237317251032
wide,31100,3041,0.95184277813504825083,0.00732559223504825052,0.00775591206216955098
wide,31600,3021,0.93062096202531652267,0.01389622387468347764,0.01471251564516765607
wide,32100,3095,0.93856598130841129013,0.00595120459158871018,0.00630079016076134056
wide,32600,3183,0.95044770552147239684,0.00593051962147239653,0.00627889011444656298
wide,33100,3200,0.94109003021148041057,0.00342715568851958974,0.00362847361560071939
wide,33600,3235,0.93722571428571443963,0.00729147161428556068,0.00771978712842345208
wide,34100,3313,0.94574977126099712965,0.00123258536099712934,0.00130498987143641901
wide,34600,3365,0.94671260115606947760,0.00219541525606947729,0.00232437830549111395
wide,35100,3431,0.95153066666666674678,0.00701348076666674647,0.00742546654668207670
wide,35600,3468,0.94828368539325846864,0.00376649949325846833,0.00398775114893170756
wide,36100,3515,0.94782315789473692291,0.00330597199473692260,0.00350017135112980346
wide,36600,3515,0.93487475409836073847,0.00964243180163926183,0.01020884738317524507
wide,37100,3650,0.95769703504043124376,0.01317984914043124345,0.01395405963722363626
wide,37600,3641,0.94263165957446815035,0.00188552632553184996,0.00199628588413157653
wide,38100,3715,0.94916787401574809202,0.00465068811574809171,0.00492387876597142130
wide,38600,3737,0.94242105699481870662,0.00209612890518129369,0.00221925967729635345
wide,39100,3850,0.95850230179028139688,0.01398511589028139657,0.01480662935418737731
wide,39600,3800,0.93410909090909088892,0.01040809499090911139,0.01101948714780829827
wide,40100,3990,0.96858493765586051172,0.02406775175586051141,0.02548153926169921882
wide,40600,3867,0.92716563546798036466,0.01735155043201963565,0.01837081494233045939
wide,41100,3972,0.94075515328467151921,0.00376203261532848110,0.00398302187772662034
wide,41600,4040,0.94536000000000008914,0.00084281410000008883,0.00089232267298238561
wide,42100,4095,0.94684959619952502319,0.00233241029952502288,0.00246942070969576304
wide,42600,4091,0.93482230985915493182,0.00969487604084506849,0.01026437230107902533
wide,43100,4180,0.94407870069605581698,0.00043848520394418333,0.00046424269509332954
wide,43600,4164,0.92967985321100921059,0.01483733268899078972,0.01570890705906295703
wide,44100,4229,0.93348702040816333714,0.01103016549183666317,0.01167809930459483801
wide,44600,4326,0.94419314798206277484,0.00032403791793722547,0.00034307254836073755
wide,45100,4400,0.94969756097560986685,0.00518037507560986654,0.00548468058913470589
wide,45600,4319,0.92199284210526322170,0.02252434379473677861,0.02384746845370955964
wide,46100,4469,0.94366667245119306706,0.00085051344880693325,0.00090047429681918009
wide,46600,4540,0.94837287553648075278,0.00385568963648075247,0.00408218049818414880
wide,47100,4637,0.95835271337579630568,0.01383552747579630537,0.01464825381934461816
wide,47600,4513,0.92292746218487409227,0.02158972371512590804,0.02285794693566507718
wide,48100,4648,0.94065470270270279407,0.00386248319729720624,0.00408937312624626376
wide,48600,4619,0.92516859259259265347,0.01934859330740734684,0.02048516807978532916
wide,49100,4903,0.97205220366598787951,0.02753501776598787920,0.02915247935880663568
wide,49600,4901,0.96186077419354854001,0.01734358829354853970,0.01836238509204297237
wide,50100,4889,0.94992977245508991579,0.00541258655508991549,0.00573053263179370935
wide,50600,4853,0.93361745454545452816,0.01089973135454547215,0.01154000320720418617
wide,51100,4929,0.93896003131115468587,0.00555715458884531444,0.00588359287877867568
wide,51600,4933,0.93061618604651175080,0.01390099985348824951,0.01471757217444639131
wide,52100,5084,0.94989807293666028709,0.00538088703666028678,0.00569697102073692032
wide,52600,5134,0.95012185551330807787,0.00560466961330807756,0.00593389903008230413
wide,53100,5126,0.93970874576271190559,0.00480844013728809472,0.00509089745434995657
wide,53600,5086,0.92367832835820906645,0.02083885754179093386,0.02206297339305081720
wide,54100,5203,0.93619377449168217353,0.00832341140831782678,0.00881234511406662861
wide,54600,5308,0.94634057142857141987,0.00182338552857141956,0.00193049481342573372
wide,55100,5319,0.93969643557168791581,0.00482075032831208450,0.00510393077042695271
wide,55600,5410,0.94717812949640289855,0.00266094359640289824,0.00281725270447818338
wide,56100,5355,0.92919272727272739232,0.01532445862727260799,0.01622464774176705579
wide,56600,5390,0.92700381625441696798,0.01751336964558303233,0.01854213973766407134
wide,57100,5475,0.93337723292469354508,0.01113995297530645523,0.01179433592274083641
wide,57600,5621,0.94994900000000015439,0.00543181410000015408,0.00575088964085322934
wide,58100,5582,0.93523960068846823113,0.00927758521153176918,0.00982256898024725343
wide,58600,5688,0.94486804095563148298,0.00035085505563148267,0.00037146497794761054
wide,59100,5716,0.94148613197969543975,0.00303105392030456056,0.00320910404337044087
wide,59600,5884,0.96102700671140950384,0.01650982081140950353,0.01747964045320977988
