rect,N,M,S_est,abs_err,rel_err
tight,21100,16588,0.78616113744075832859,0.15835604845924167172,0.16765819703783294004
tight,21600,16978,0.78601851851851856079,0.15849866738148143952,0.16780919367862340286
tight,22100,17292,0.78244343891402712288,0.16207374698597287743,0.17159428055460740348
tight,22600,17774,0.78646017699115045030,0.15805700890884955001,0.16734159131074161087
tight,23100,18197,0.78774891774891775409,0.15676826815108224622,0.16597714736307611627
tight,23600,18434,0.78110169491525427432,0.16341549098474572599,0.17301484125885160936
tight,24100,18955,0.78651452282157674478,0.15800266307842325553,0.16728405309837490744
tight,24600,19257,0.78280487804878051694,0.16171230785121948337,0.17121160976772384354
tight,25100,19724,0.78581673306772903409,0.15870045283227096622,0.16802283240727949876
tight,25600,20048,0.78312499999999996003,0.16139218590000004028,0.17087268321773799173
tight,26100,20544,0.78712643678160920668,0.15739074911839079363,0.16663619409785351833
tight,26600,20974,0.78849624060150380611,0.15602094529849619420,0.16518592528290404475
tight,27100,21371,0.78859778597785978871,0.15591939992214021160,0.16507841492960198537
tight,27600,21731,0.78735507246376812418,0.15716211343623187613,0.16639412790194724190
tight,28100,22119,0.78715302491103200655,0.15736416098896799376,0.16660804412893848170
tight,28600,22425,0.78409090909090906063,0.16042627680909093968,0.16985003470977175222
tight,29100,22868,0.78584192439862543544,0.15867526150137456487,0.16799616128760858080
tight,29600,23319,0.78780405405405407038,0.15671313184594592993,0.16591877224194606644
tight,30100,23757,0.78926910299003327776,0.15524808290996672255,0.16436766342375849770
tight,30600,24134,0.78869281045751638004,0.15582437544248362027,0.16497780852341356606
tight,31100,24419,0.78517684887459804344,0.15934033702540195687,0.16870030466790467139
tight,31600,24797,0.78471518987341770668,0.15980199602658229363,0.16918908243507727041
tight,32100,25279,0.78750778816199373811,0.15700939773800626220,0.16623244138051027075
tight,32600,25540,0.78343558282208591859,0.16108160307791408172,0.17054385614426340045
tight,33100,26120,0.78912386706948645099,0.15539331883051354932,0.16452143079053058172
tight,33600,26387,0.78532738095238097120,0.15918980494761902911,0.16854093003710904353
tight,34100,26684,0.78252199413489731405,0.16199519176510268625,0.17151111084415335273
tight,34600,27021,0.78095375722543347585,0.16356342867456652446,0.17317146910218705891
tight,35100,27616,0.78678062678062676838,0.15773655911937323193,0.16700231766462900196
tight,35600,28034,0.78747191011235950775,0.15704527578764049256,0.16627042697798782855
tight,36100,28394,0.78653739612188366959,0.15797978977811633072,0.16725983617501091749
